#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A363E3
#Date Time: 2017-09-20 15:01:52.445

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (°)
1024.403,10.438869177363326,174.51689065523323
1098.1662841032505,10.439610306455343,174.12942190027729
1177.2409760037244,10.43793772316673,173.71229225184024
1262.0095295621875,10.437713546638822,173.26386743207075
1352.8819376575427,10.436532672113177,172.78355996756898
1450.297715164628,10.43606747214106,172.26994550615615
1554.7280247185663,10.435729773004034,171.72053668418118
1666.6779555471587,10.435183412200857,171.12501038823177
1786.6889663931354,10.434616567845667,170.49372358901331
1915.3415043417763,10.435167356330314,169.81351060992048
2053.2578122201298,10.435172827303386,169.08935200306823
2201.104938146173,10.434432763200661,168.31317243190563
2359.5979617838848,10.434644114690519,167.48418816238001
2529.5034529084865,10.435238186809066,166.59956505620892
2711.6431790094907,10.433473917137412,165.66012160003066
2906.8980798638586,10.432769214255943,164.65971746565569
3116.2125283027976,10.432205415573382,163.59994203635515
3340.5988977797615,10.43095266806597,162.47269494720149
3581.1424588313566,10.429602084492245,161.28098403555168
3839.0066281133572,10.427689280743177,160.01445688709344
4115.4385953994652,10.425871444292598,158.67956318367854
4411.7753557583637,10.421814328569617,157.27310506739514
4729.4501760844678,10.418441742355551,155.79114160847487
5069.9995272584592,10.413732193947185,154.22748749161661
5435.0705154657526,10.407519796734553,152.58667070489389
5826.4288486154073,10.400440191065139,150.85789651709177
6245.9673763899236,10.391642914699329,149.05567008908133
6695.7152452308801,10.381028249885166,147.1643305889616
7177.847712539583,10.370378606700177,145.19246762689318
7694.696667560147,10.356754498224849,143.14196857919237
8248.7619098305931,10.341590450919576,141.01369886362545
8842.7232397514472,10.322600270631135,138.80345658335153
9479.4534197491721,10.300631657856956,136.53102727965071
10162.032068722754,10.277909285378712,134.19388950222148
10893.760556975476,10.251064050803549,131.79571958109722
11678.177973672789,10.220456455127904,129.34127823888761
12519.078244055003,10.185790327713494,126.8401767277351
13420.528479193963,10.146727946878739,124.28566097878979
14386.888647044467,10.103290683610043,121.69674955958209
15422.832659931753,10.054115007964077,119.06862216890447
16533.370980467171,9.9957020065457698,116.40869252076379
17723.87485522803,9.9307472754456345,113.70533724859484
19000.102293410728,9.8564482035530823,110.98782092205005
20368.225916105785,9.7698316936152203,108.27048834311829
21834.862810891231,9.6705383939405181,105.56529818320689
23407.106536139305,9.5511422736686011,102.89873658639394
25092.561429828897,9.4069492321316517,100.31719414698948
26899.379388802801,9.2325672679343835,97.823277411713519
28836.299296356177,9.0172570824778582,95.376643632549602
30912.689288852791,8.7523446987275921,93.020040207042172
33138.592065796212,8.3802293023766783,90.780420748038523
35524.773462503428,7.9501434399761859,88.575047698647325
38082.774520308099,7.4306390237046429,86.335044193947681
40824.967306137041,6.7997806121102977,84.03393965460468
43764.614751437883,6.1566706821444317,81.755851209144552
46915.93479987554,5.5018076040770616,79.48346659065254
50294.16917405522,4.8388015240034576,77.229210827504275
53915.65709387081,4.1644005916190121,74.982780559418416
57797.914303024481,3.4790848873674571,72.742305064627459
61959.717785940222,2.7829301866407659,70.508248154647305
66421.196584812918,2.0786617017893807,68.264558197247027
71203.929156040685,1.3659306939588631,66.019381869354334
76331.047736916371,0.64840288464153406,63.768136508807586
81827.350227359071,-0.083751931547297306,61.508671921942209
87719.420127815189,-0.81801653942525043,59.241000036613833
94035.755113421867,-1.5602991789195741,56.958887378528445
100806.9048662975,-2.313908464593541,54.671544145616053
108065.6188326,-3.0691912728207016,52.316783398111085
115847.00461899722,-3.8354079637636884,49.959766648545653
124188.69779465349,-4.5921159476832729,47.565292067675074
133131.04391999647,-5.3720390349787204,45.138617834882027
142717.29368267101,-6.1486619355653582,42.625649565850253
152993.81208447387,-6.9319104235895779,40.090007320047398
164010.30269102854,-7.7128754309406506,37.475908493336306
175820.04802880928,-8.4996606556450374,34.730764298747417
188480.16729222049,-9.295056038259089,31.955498701809091
202051.89260716422,-10.091647064910331,29.067800917948588
216600.86518727377,-10.88566271174145,25.966332478680997
232197.452815208,-11.690381008338949,22.785351023286367
248917.09018454369,-12.502860595894457,19.418105206903412
266840.64374836278,-13.331367395647582,15.828347566700074
286054.80283917481,-14.166467942561363,11.979893964759725
306652.49895186228,-15.031740745150682,7.9297814441540595
328733.35521756823,-15.945296781566915,3.6273571603679713
352404.16824245069,-16.935350551783255,-0.52870546919775308
377779.42464177561,-18.06801140807087,-4.2266137916411282
404981.85476762865,-19.246858539067333,-7.7667401577362085
434143.02630840504,-20.447577247235319,-11.087114510377909
465403.9806311003,-21.670978171675372,-14.434942733232283
498915.91494413535,-22.9601887480489,-17.716635294752507
534840.91358007991,-24.263333626194452,-20.940812644014272
573352.73193520971,-25.586398004900431,-24.183422085466745
614637.63685750286,-26.933451022638579,-27.39751445910747
658895.30754772061,-28.340205987787364,-30.771133733845872
706339.80133087176,-29.756781631620115,-34.07517263744203
757200.58896913787,-31.165196119280854,-37.41295125335693
811723.6645236609,-32.754508215416706,-40.962214140270007
870172.73513316759,-34.28415583941652,-44.744535928137395
932830.49646394397,-35.884286432593044,-49.105458358055657
1000000,-37.670570865845725,-53.524336376717685
